iter	RMSE
0	1518893.807
1	1499584.408
2	1480002.5
3	1462954.755
4	1446855.626
5	1429844.013
6	1412736.445
7	1397610.662
8	1382212.117
9	1365939.606
10	1350779.796
11	1334689.447
12	1318834.205
13	1306387.826
14	1292161.942
15	1276826.422
16	1262464.367
17	1251052.264
18	1236911.969
19	1224719.294
20	1212509.377
21	1199961.508
22	1189566.61
23	1178248.431
24	1167125.839
25	1155149.029
26	1144199.72
27	1134190.891
28	1123835.506
29	1111502.01
30	1101813.529
31	1090050.609
32	1080190.222
33	1071706.186
34	1062551.262
35	1054992.602
36	1046496.317
37	1037350.837
38	1027852.764
39	1020933.201
40	1012716.677
41	1004451.442
42	996609.2391
43	988704.6772
44	980648.5117
45	972938.1645
46	965539.5166
47	958385.4827
48	950531.9138
49	944196.2259
50	938547.8541
51	932079.9704
52	927226.9337
53	921486.8695
54	915632.2812
55	910102.2224
56	902781.0949
57	895099.3765
58	889010.5875
59	883411.2025
60	877807.8533
61	873305.3514
62	868477.8285
63	863603.1245
64	858657.5285
65	854095.6882
66	848427.2729
67	843717.9189
68	838488.2007
69	834875.4814
70	828139.823
71	822895.1803
72	818530.3615
73	814877.0121
74	809393.0578
75	805095.6449
76	800345.1892
77	796408.1383
78	792344.1209
79	787683.4115
80	785000.9484
81	781314.2881
82	777019.8965
83	772693.7932
84	769143.8128
85	766540.9348
86	762949.1168
87	759324.8132
88	755285.3666
89	751929.0017
90	747908.0737
91	744317.7048
92	740843.6028
93	737776.7055
94	734649.0968
95	731302.0013
96	726984.6603
97	724299.5192
98	720822.5072
99	718118.7197
100	714842.5054
101	711766.6546
102	708653.4039
103	706606.772
104	704279.4622
105	700706.2469
106	698918.8815
107	695239.1166
108	692362.2936
109	689395.5385
110	686913.2547
111	684460.8067
112	681810.7221
113	679730.4169
114	677334.6036
115	675670.3873
116	673558.563
117	671529.2336
118	668783.7523
119	666142.6994
120	663340.9115
121	660675.215
122	658388.7513
123	656999.7795
124	654339.1561
125	651983.5711
126	650661.7276
127	648762.9701
128	646768.6951
129	644788.4388
130	643024.3389
131	641500.8816
132	639984.1212
133	638106.1023
134	636891.0512
135	635703.8803
136	634229.1218
137	632265.5725
138	630118.632
139	628508.5027
140	626579.3246
141	624734.0461
142	623302.2156
143	621043.8876
144	619988.1034
145	618048.2537
146	616568.7429
147	614730.9487
148	613519.8697
149	611734.1709
150	609979.2277
151	607942.1331
152	606648.037
153	605363.9488
154	604020.1255
155	602166.1261
156	600905.5669
157	599317.5108
158	598026.9267
159	597029.071
160	595033.389
161	593609.8698
162	592659.8273
163	591529.0744
164	589736.9579
165	589009.471
166	587930.6276
167	586408.1354
168	585275.0204
169	583493.771
170	582846.6252
171	581755.9572
172	580869.0322
173	579523.015
174	578806.7402
175	577618.8467
176	576665.701
177	575717.0492
178	574660.4802
179	573672.6011
180	572143.991
181	570985.3464
182	569177.1338
183	567427.8316
184	566463.4206
185	564861.0342
186	563450.3879
187	562741.8462
188	562406.3228
189	561844.6292
190	560965.4056
191	559494.9184
192	558039.0064
193	557303.0469
194	556767.0401
195	555574.8149
196	554253.767
197	552826.0795
198	552087.1941
199	550852.6164
200	549522.033
201	548734.465
202	546615.8342
203	545768.4533
204	545046.5849
205	543853.4045
206	543211.445
207	542604.6804
208	542092.0847
