iter	Passed	Remaining
0	1	3640
1	3	3701
2	8	5225
3	11	5319
4	13	5242
5	15	4978
6	17	4729
7	19	4551
8	20	4409
9	22	4268
10	24	4198
11	26	4236
12	29	4229
13	30	4119
14	32	4067
15	34	4015
16	37	4137
17	39	4152
18	41	4150
19	43	4117
20	45	4091
21	48	4143
22	50	4122
23	52	4076
24	53	4030
25	57	4115
26	58	4089
27	61	4088
28	63	4109
29	65	4090
30	67	4060
31	69	4032
32	72	4105
33	74	4066
34	76	4052
35	78	4056
36	81	4106
37	84	4123
38	85	4095
39	88	4121
40	90	4112
41	92	4096
42	94	4087
43	97	4105
44	100	4136
45	103	4157
46	105	4157
47	106	4125
48	108	4103
49	110	4084
50	113	4100
51	114	4085
52	118	4116
53	120	4108
54	122	4098
55	123	4074
56	126	4078
57	127	4055
58	129	4042
59	131	4029
60	134	4058
61	136	4045
62	138	4038
63	140	4024
64	142	4023
65	143	3999
66	146	3994
67	147	3978
68	149	3977
69	151	3963
70	153	3958
71	157	3996
72	159	3993
73	161	3982
74	163	3983
75	165	3971
76	167	3967
77	168	3940
78	170	3935
79	172	3917
80	174	3910
81	175	3894
82	177	3883
83	179	3870
84	180	3864
85	182	3854
86	184	3843
87	185	3828
88	187	3818
89	189	3808
90	191	3798
91	192	3786
92	194	3779
93	195	3764
94	198	3762
95	199	3753
96	201	3747
97	203	3736
98	204	3729
99	206	3716
100	208	3712
101	210	3702
102	211	3695
103	214	3707
104	216	3701
105	218	3696
106	220	3692
107	222	3684
108	224	3680
109	225	3668
110	227	3662
111	228	3654
112	230	3651
113	232	3643
114	234	3636
115	235	3626
116	237	3624
117	239	3617
118	241	3609
119	242	3604
120	244	3601
121	246	3594
122	248	3596
123	250	3586
124	252	3582
125	254	3578
126	255	3571
127	257	3561
128	259	3562
129	261	3562
130	264	3572
131	266	3575
132	268	3572
133	270	3567
134	272	3562
135	274	3554
136	275	3549
137	277	3542
138	279	3537
139	280	3530
140	282	3525
141	284	3519
142	285	3510
143	287	3503
144	288	3497
145	290	3487
146	291	3481
147	293	3474
148	295	3470
149	296	3461
150	298	3453
151	299	3445
152	301	3437
153	302	3429
154	304	3423
155	305	3415
156	307	3409
157	308	3401
158	310	3399
159	311	3391
160	313	3386
161	314	3378
162	316	3373
163	317	3365
164	319	3360
165	320	3352
166	322	3346
167	323	3338
168	326	3341
169	327	3334
170	329	3327
171	330	3321
172	332	3317
173	333	3311
174	335	3302
175	336	3295
176	338	3290
177	339	3283
178	340	3278
179	342	3271
180	343	3266
181	345	3259
182	346	3255
183	348	3248
184	349	3244
185	351	3238
186	355	3254
187	356	3249
188	358	3247
189	360	3242
190	362	3239
191	363	3235
192	365	3235
193	367	3231
194	369	3227
195	370	3221
196	372	3216
197	373	3210
198	374	3205
199	376	3198
200	377	3194
201	379	3188
202	380	3182
203	382	3176
204	383	3173
205	385	3167
206	387	3165
207	388	3159
208	389	3155
209	391	3149
210	394	3160
211	396	3154
212	399	3161
213	400	3156
214	402	3153
215	403	3148
216	405	3143
217	406	3138
218	407	3130
219	409	3124
220	410	3120
221	412	3115
222	413	3109
223	414	3104
224	416	3101
225	418	3096
226	419	3092
227	421	3087
228	422	3083
229	423	3078
230	425	3075
231	427	3070
232	428	3067
233	430	3062
234	431	3057
235	432	3052
236	434	3050
237	436	3046
238	438	3045
239	439	3040
240	441	3037
241	442	3031
242	444	3027
243	445	3023
244	446	3019
245	448	3014
246	449	3011
247	451	3006
248	452	3003
249	454	2999
